Tag_ID	article_id
339	218
527	218
5	218
596	218
851	218
508	218
930	218
347	218
758	218
800	218
420	218
340	218
916	218
618	218
675	218
463	218
816	218
787	218
303	218
28	218
40	218
237	218
911	218
776	218
568	218
819	218
178	218
394	218
627	218
644	218
114	218
713	218
201	218
193	218
868	218
624	218
789	218
385	218
191	218
23	218
370	218
18	218
299	218
323	218
204	218
605	218
759	218
562	218
253	218
336	218
840	218
51	218
101	218
137	218
733	218
197	218
94	218
543	218
116	218
383	218
342	218
534	218
368	218
731	218
187	218
456	218
380	218
921	218
709	218
669	218
679	218
14	218
748	218
257	218
922	218
118	218
76	218
926	218
661	218
140	218
65	218
134	218
291	218
828	218
749	218
243	218
573	218
130	218
328	218
430	218
122	218
932	218
736	218
714	218
408	218
175	218
131	218
755	218
88	218
778	218
907	218
680	218
871	218
43	218
850	218
205	218
951	218
492	218
38	218
15	218
238	218
579	218
10	218
337	218
454	218
712	218
948	218
615	218
824	218
821	218
706	218
959	218
443	218
803	218
332	218
362	218
646	218
744	218
489	218
941	218
89	218
608	218
692	218
395	218
961	218
591	218
956	218
962	218
173	218
457	218
293	218
232	218
249	218
120	218
147	218
72	218
206	218
898	218
353	218
968	218
310	218
992	218
488	218
121	218
526	218
765	218
834	218
812	218
308	218
151	218
482	218
937	218
484	218
416	218
913	218
599	218
273	218
6	218
810	218
640	218
30	218
375	218
760	218
953	218
785	218
955	218
107	218
899	218
111	218
762	218
398	218
513	218
525	218
699	218
2	218
218	218
721	218
265	218
295	218
372	218
811	218
770	218
410	218
638	218
767	218
428	218
499	218
651	218
972	218
756	218
92	218
236	218
124	218
177	218
708	218
728	218
345	218
694	218
693	218
918	218
648	218
833	218
975	218
835	218
631	218
541	218
102	218
900	218
792	218
188	218
110	218
480	218
327	218
189	218
720	218
780	218
259	218
967	218
290	218
965	218
857	218
349	218
929	218
943	218
123	218
0	218
388	218
892	218
882	218
861	218
451	218
571	218
979	218
822	218
135	218
262	218
472	218
361	218
397	218
497	218
458	218
603	218
136	218
239	218
723	218
980	218
515	218
281	218
673	218
566	218
577	218
325	218
244	218
360	218
80	218
592	218
63	218
777	218
805	218
432	218
855	218
119	218
775	218
426	218
17	218
165	218
836	218
461	218
610	218
302	218
52	218
528	218
32	218
376	218
612	218
908	218
677	218
217	218
351	218
710	218
670	218
199	218
540	218
286	218
587	218
314	218
779	218
790	218
849	218
915	218
865	218
324	218
78	218
208	218
902	218
155	218
266	218
598	218
194	218
549	218
269	218
635	218
61	218
807	218
491	218
245	218
71	218
737	218
128	218
884	218
860	218
138	218
66	218
390	218
814	218
278	218
772	218
697	218
664	218
284	218
729	218
331	218
619	218
417	218
126	218
903	218
511	218
329	218
530	218
647	218
504	218
654	218
224	218
862	218
25	218
585	218
844	218
479	218
356	218
450	218
589	218
279	218
678	218
297	218
993	218
411	218
7	218
565	218
474	218
483	218
581	218
464	218
37	218
210	218
906	218
665	218
952	218
516	218
957	218
858	218
893	218
53	218
704	218
741	218
311	218
726	218
633	218
26	218
159	218
919	218
83	218
944	218
880	218
54	218
235	218
294	218
645	218
933	218
352	218
572	218
346	218
813	218
583	218
381	218
501	218
655	218
214	218
848	218
149	218
963	218
168	218
827	218
241	218
363	218
642	218
117	218
427	218
634	218
393	218
586	218
341	218
240	218
234	218
593	218
601	218
422	218
761	218
783	218
386	218
436	218
298	218
343	218
702	218
804	218
225	218
563	218
864	218
445	218
607	218
576	218
481	218
829	218
172	218
875	218
95	218
161	218
3	218
674	218
942	218
19	218
186	218
274	218
927	218
277	218
87	218
730	218
557	218
876	218
211	218
209	218
68	218
649	218
59	218
158	218
931	218
382	218
357	218
535	218
82	218
200	218
505	218
494	218
424	218
